Date,Open,High,Low,Close,Volume
14 04 2016,110.010002,111.639999,109.150002,110.419998,9553700
15 04 2016,110.639999,111.849998,109.779999,111.510002,11746100
18 04 2016,109.900002,110.699997,106.019997,108.400002,32816400
19 04 2016,99.489998,101.370003,94.199997,94.339996,55728800
20 04 2016,94.339996,96.980003,93.139999,96.769997,26613500
21 04 2016,97.309998,97.379997,94.779999,94.980003,19919400
22 04 2016,94.849998,96.690002,94.209999,95.900002,15806300
25 04 2016,95.699997,95.75,92.800003,93.559998,14985400
26 04 2016,93.5,93.550003,91.25,92.43,15330900
27 04 2016,92.18,92.5,90.209999,91.040001,12218900
28 04 2016,91.5,92.669998,90.089996,90.279999,11474900
29 04 2016,90.5,90.559998,88.209999,90.029999,13968000
02 05 2016,90.410004,93.220001,89.889999,93.110001,12547000
03 05 2016,92.080002,93.25,91.300003,91.540001,10593900
04 05 2016,91,92.160004,90.349998,90.790001,7394700
05 05 2016,90.910004,92.080002,89.25,89.370003,10368500
06 05 2016,88.830002,90.879997,88.110001,90.839996,10433900
09 05 2016,90.730003,91.830002,89.900002,90.540001,9543700
10 05 2016,91.139999,93.25,91.089996,92.889999,11175900
11 05 2016,92.400002,92.589996,89.900002,90.019997,11692900
12 05 2016,90.32,90.410004,85.739998,87.739998,20408100
13 05 2016,87.389999,88.589996,86.260002,87.879997,11571400
16 05 2016,87.559998,90,86.150002,89.120003,11247800
17 05 2016,89,90.870003,88.169998,88.629997,11571300
18 05 2016,88.25,91.720001,88.25,90.5,13911800
19 05 2016,90.160004,91.269997,88.300003,89.550003,11450300
20 05 2016,90.080002,93.279999,89.980003,92.489998,15063000
23 05 2016,92.980003,95.290001,92.849998,94.889999,13992300
24 05 2016,95.980003,99.139999,95.75,97.889999,21246000
25 05 2016,99,100.309998,98.300003,100.199997,15142900
26 05 2016,103.209999,104,101.379997,102.809998,17824700
27 05 2016,102.440002,103.5,101.440002,103.300003,9092100
31 05 2016,102.949997,103.449997,102.129997,102.57,8725700
01 06 2016,101.5,101.919998,100.160004,101.510002,8393400
02 06 2016,101.389999,102.150002,100.769997,101.25,7992400
03 06 2016,100.989998,101,98.529999,99.589996,9224000
06 06 2016,100.290001,101.07,99.720001,100.739998,6828100
07 06 2016,101.199997,101.629997,99.769997,99.889999,6474700
08 06 2016,100.019997,100.279999,97.599998,97.860001,9423900
09 06 2016,97.220001,98.43,96.660004,97.089996,8923800
10 06 2016,94.879997,95.349998,93.279999,93.75,12907900
13 06 2016,95.019997,97.199997,93.620003,93.849998,13484300
14 06 2016,94.160004,95.800003,93.269997,94.120003,9480400
15 06 2016,94.610001,95.459999,93.5,94.290001,7675400
16 06 2016,94.18,95.559998,93.25,95.440002,7550800
17 06 2016,95.75,95.769997,94.199997,94.449997,8046800
20 06 2016,95.220001,95.879997,93.650002,93.800003,9026400
21 06 2016,93.870003,93.879997,90.769997,90.989998,15199700
22 06 2016,90.779999,91.980003,89.769997,90.010002,9454700
23 06 2016,90.620003,91.68,88.150002,91.660004,10819000
24 06 2016,87.529999,90.489998,87.209999,88.440002,11248600
27 06 2016,87.879997,88,84.809998,85.330002,13730500
28 06 2016,87.410004,88.879997,86.410004,87.970001,11545600
29 06 2016,89.669998,91.970001,88.699997,91.059998,11687100
30 06 2016,90.910004,91.720001,89.900002,91.480003,9099000
01 07 2016,95,97,94.800003,96.669998,16167200
05 07 2016,95.199997,101.269997,93.309998,97.910004,25879400
06 07 2016,95.029999,96,93.550003,94.599998,16301200
07 07 2016,94.699997,95.379997,93.18,95.099998,9913500
08 07 2016,96,97.410004,95.300003,97.059998,8335400
11 07 2016,96.190002,96.870003,94.300003,94.669998,13276200
12 07 2016,95.07,96.720001,94.089996,95.970001,11617400
13 07 2016,96.260002,96.720001,94.800003,96.43,8768900
14 07 2016,97,98.269997,96.800003,98.019997,9885000
15 07 2016,98.519997,98.699997,97.410004,98.389999,9041900
18 07 2016,98.43,99.839996,97.239998,98.809998,28669700
19 07 2016,85.43,86.75,84.5,85.839996,55681200
20 07 2016,86.669998,88.489998,85.82,87.910004,23525100
21 07 2016,88.300003,88.379997,85.209999,85.989998,16084000
22 07 2016,86.480003,86.5,85.110001,85.889999,11363900
25 07 2016,85.730003,87.870003,85.010002,87.660004,14135000
26 07 2016,91.029999,93.099998,90.900002,91.410004,19577600
27 07 2016,91.5,92.059998,90.099998,92.040001,8727500
28 07 2016,91.919998,92.209999,90.68,91.650002,6227700
29 07 2016,91.190002,91.75,90.589996,91.25,6960200
01 08 2016,91.230003,94.669998,90.5,94.370003,10666900
02 08 2016,94,94.080002,92.18,93.559998,9836200
03 08 2016,93.279999,94.669998,92.550003,93.099998,7030900
04 08 2016,93.199997,93.730003,91.82,93.440002,6043400
05 08 2016,93.769997,97.739998,93.559998,97.029999,18364800
08 08 2016,95.910004,95.93,94,95.110001,10135400
09 08 2016,95.120003,95.809998,93.480003,93.989998,9175400
10 08 2016,94.400002,94.75,92.949997,93.93,6511100
11 08 2016,94.599998,96.330002,94.370003,95.889999,8547700
12 08 2016,95.529999,96.830002,95.080002,96.589996,6592900
15 08 2016,96.830002,96.910004,95.239998,95.309998,7304600
16 08 2016,95.190002,95.610001,94.400002,95.120003,6311300
17 08 2016,94.940002,96.93,94.849998,96.370003,8315600
18 08 2016,95.980003,97.220001,95.169998,96.160004,7252600
